"cod_reg","cod_prov","pro_com","comune","ar_kmq","ar_id_p3","ar_id_p2","ar_id_p1","aridp3_p","aridp2_p","aridp1_p","pop_res011","pop_gio","pop_gio_p","pop_adu","pop_adu_p","pop_anz","pop_anz_p","pop_idr_p3","pop_idr_p2","pop_idr_p1","popidp3_p","popidp2_p","popidp1_p","fam_tot","fam_idr_p3","fam_idr_p2","fam_idr_p1","famidp3_p","famidp2_p","famidp1_p","ed_tot","ed_idr_p3","ed_idr_p2","ed_idr_p1","edidp3_p","edidp2_p","edidp1_p","im_tot","im_idr_p3","im_idr_p2","im_idr_p1","imidp3_p","imidp2_p","imidp1_p","n_vir","bbcc_id_p3","bbcc_id_p2","bbcc_id_p1","bbccidp3_p","bbccidp2_p","bbccidp1_p","ar_fr_p4","ar_fr_p3","ar_fr_p2","ar_fr_p1","ar_fr_aa","ar_fr_p3p4","ar_frp4_p","ar_frp3_p","ar_frp2_p","ar_frp1_p","ar_fraa_p","ar_frp3p4p","pop_fr_p4","pop_fr_p3","pop_fr_p2","pop_fr_p1","pop_fr_aa","popfr_p3p4","popfrp4_p","popfrp3_p","popfrp2_p","popfrp1_p","popfraa_p","popfrp3p4p","fam_fr_p4","fam_fr_p3","fam_fr_p2","fam_fr_p1","fam_fr_aa","famfr_p3p4","famfrp4_p","famfrp3_p","famfrp2_p","famfrp1_p","famfraa_p","famfrp3p4p","ed_fr_p4","ed_fr_p3","ed_fr_p2","ed_fr_p1","ed_fr_aa","ed_fr_p3p4","edfrp4_p","edfrp3_p","edfrp2_p","edfrp1_p","edfraa_p","edfrp3p4p","im_fr_p4","im_fr_p3","im_fr_p2","im_fr_p1","im_fr_aa","imfr_p3p4","imfrp4_p","imfrp3_p","imfrp2_p","imfrp1_p","imfraa_p","imfrp3p4p","bbcc_fr_p4","bbcc_fr_p3","bbcc_fr_p2","bbcc_fr_p1","bbcc_fr_aa","bbccfrp3p4","bbccfrp4_p","bbccfrp3_p","bbccfrp2_p","bbccfrp1_p","bbccfraa_p","bbccfrp34p"
5,24,24062,"Montecchio Precalcino",14.42,0,0,0,0,0,0,4988,758,15.196,3272,65.597,958,19.206,0,0,0,0,0,0,1891,0,0,0,0,0,0,1535,0,0,0,0,0,0,400,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,23,23091,"Verona",198.913,15.008,15.858,19.043,7.545,7.972,9.574,252520,32264,12.777,158415,62.734,61841,24.49,18139,19185,29079,7.183,7.597,11.516,115462,8261,8736,13126,7.155,7.566,11.368,30312,1824,1913,2698,6.017,6.311,8.901,25691,1502,1555,2080,5.846,6.053,8.096,2004,227,227,236,11.327,11.327,11.776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,24,24012,"Bassano del Grappa",47.062,2.022,2.073,2.308,4.296,4.405,4.904,42984,6125,14.249,27262,63.424,9597,22.327,859,887,1201,1.998,2.064,2.794,18039,381,394,533,2.112,2.184,2.955,9357,257,271,349,2.747,2.896,3.73,4953,122,123,146,2.463,2.483,2.948,408,37,37,40,9.069,9.069,9.804,0.19,0.053,0.002,0.01,0.258,0.243,0.404,0.113,0.004,0.021,0.548,0.516,32,7,0,1,15,39,0.074,0.016,0,0.002,0.035,0.091,14,3,0,1,6,17,0.078,0.017,0,0.006,0.033,0.094,18,4,0,0,6,22,0.192,0.043,0,0,0.064,0.235,2,1,0,0,1,3,0.04,0.02,0,0,0.02,0.061,0,0,0,0,0,0,0,0,0,0,0,0
3,19,19012,"Capergnanica",6.838,0,0,0,0,0,0,2095,273,13.031,1437,68.592,385,18.377,0,0,0,0,0,0,868,0,0,0,0,0,0,561,0,0,0,0,0,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,24,24026,"Cassola",12.74,0,0,0,0,0,0,14128,2267,16.046,9551,67.603,2310,16.351,0,0,0,0,0,0,5442,0,0,0,0,0,0,3050,0,0,0,0,0,0,1378,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,21,21045,"Magrè sulla strada del vino",13.864,0,0.016,0.016,0,0.115,0.115,1281,225,17.564,857,66.901,199,15.535,-1,0,0,-1,0,0,533,-1,0,0,-1,0,0,302,-1,0,0,-1,0,0,77,-1,0,0,-1,0,0,4,-1,0,0,-1,0,0,2.592,0.872,0.468,0.147,0,3.464,18.696,6.29,3.376,1.06,0,24.986,55,64,11,1,0,119,4.294,4.996,0.859,0.078,0,9.29,22,27,4,0,0,49,4.128,5.066,0.75,0,0,9.193,18,21,5,1,0,39,5.96,6.954,1.656,0.331,0,12.914,2,2,0,0,0,4,2.597,2.597,0,0,0,5.195,0,0,0,0,0,0,0,0,0,0,0,0
4,21,21034,"Gais",60.615,0,2.613,2.613,0,4.311,4.311,3167,588,18.566,2143,67.667,436,13.767,-1,832,832,-1,26.271,26.271,1161,-1,289,289,-1,24.892,24.892,662,-1,168,168,-1,25.378,25.378,159,-1,38,38,-1,23.899,23.899,7,-1,0,0,-1,0,0,2.012,1.307,0.418,0,0,3.319,3.319,2.156,0.69,0,0,5.476,38,88,39,0,0,126,1.2,2.779,1.231,0,0,3.979,12,31,13,0,0,43,1.034,2.67,1.12,0,0,3.704,10,18,11,0,0,28,1.511,2.719,1.662,0,0,4.23,1,3,2,0,0,4,0.629,1.887,1.258,0,0,2.516,0,0,0,0,0,0,0,0,0,0,0,0
1,6,6167,"Stazzano",17.913,1.356,1.42,1.435,7.57,7.927,8.011,2425,309,12.742,1588,65.485,528,21.773,36,37,38,1.485,1.526,1.567,1075,16,17,17,1.488,1.581,1.581,926,19,19,19,2.052,2.052,2.052,108,2,2,2,1.852,1.852,1.852,7,0,0,0,0,0,0,0.995,0.842,0,0,0,1.837,5.555,4.7,0,0,0,10.255,19,11,0,0,0,30,0.784,0.454,0,0,0,1.237,8,5,0,0,0,13,0.744,0.465,0,0,0,1.209,11,6,0,0,0,17,1.188,0.648,0,0,0,1.836,0,1,0,0,0,1,0,0.926,0,0,0,0.926,0,0,0,0,0,0,0,0,0,0,0,0
1,6,6185,"Villanova Monferrato",16.556,0,0.818,7.755,0,4.941,46.841,1849,230,12.439,1144,61.871,475,25.69,0,90,1061,0,4.867,57.382,797,0,38,456,0,4.768,57.215,803,0,40,457,0,4.981,56.912,141,0,6,72,0,4.255,51.064,6,0,0,5,0,0,83.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,21,21031,"Fiè allo Sciliar",43.958,0,0,0,0,0,0,3451,660,19.125,2258,65.43,533,15.445,-1,0,0,-1,0,0,1322,-1,0,0,-1,0,0,832,-1,0,0,-1,0,0,268,-1,0,0,-1,0,0,12,-1,0,0,-1,0,0,0.051,0.005,0.108,0,0,0.056,0.116,0.011,0.246,0,0,0.127,1,0,2,0,0,1,0.029,0,0.058,0,0,0.029,0,0,1,0,0,0,0,0,0.076,0,0,0,0,0,1,0,0,0,0,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
